song_id,artist_id,artist_name,duration,explicit,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,analysis_url
6zLdXcmvIxnAXpz9sXFnIE,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,227373,FALSE,Craving You,56,0.612,0.841,9,-3.795,0,0.0353,0.000907,0,0.37,0.499,104.986,4,https://api.spotify.com/v1/audio-analysis/6zLdXcmvIxnAXpz9sXFnIE
3B54sVLJ402zGa6Xm4YGNe,6vXTefBL93Dj5IqAWq6OTv,French Montana,233901,TRUE,Unforgettable,94,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe
0NiXXAI876aGImAd6rTj8w,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,181614,FALSE,Mama,73,0.746,0.793,11,-4.209,0,0.0412,0.11,0,0.0528,0.557,104.027,4,https://api.spotify.com/v1/audio-analysis/0NiXXAI876aGImAd6rTj8w
5EnYT6F7wEcdege6mDHEfO,3TVXtAsR1Inumwj472S9r4,Drake,234373,FALSE,Signs,78,0.801,0.727,0,-4.687,1,0.0606,0.0864,0.00406,0.112,0.218,107.371,4,https://api.spotify.com/v1/audio-analysis/5EnYT6F7wEcdege6mDHEfO
79NlESqzFSW0hdBWgls4FX,6LqNN22kT3074XbTVUrhzX,Kesha,230269,FALSE,Praying,82,0.565,0.381,10,-7.204,1,0.0302,0.48,0,0.109,0.325,73.483,4,https://api.spotify.com/v1/audio-analysis/79NlESqzFSW0hdBWgls4FX
1CKd1PnqfYx0H12V9MSaIY,2qxJFvFYMEDqd7ui6kSAcq,Zedd,204583,FALSE,Get Low (with Liam Payne),78,0.716,0.917,1,-3.674,1,0.0527,0.0215,7.91E-06,0.0515,0.501,107.969,4,https://api.spotify.com/v1/audio-analysis/1CKd1PnqfYx0H12V9MSaIY
5eqK0tbzUPo2SoeZsov04s,1URnnhqYAYcrqrcwql10ft,21 Savage,220306,TRUE,Bank Account,76,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04E-06,0.0871,0.376,75.016,4,https://api.spotify.com/v1/audio-analysis/5eqK0tbzUPo2SoeZsov04s
0G149jkGWKwrPXUGkEDgWM,1URnnhqYAYcrqrcwql10ft,21 Savage,271306,TRUE,Numb,62,0.839,0.437,5,-11.344,0,0.285,0.0438,2.75E-06,0.131,0.464,82.008,4,https://api.spotify.com/v1/audio-analysis/0G149jkGWKwrPXUGkEDgWM
25C5CowdsfXld2jJanbiex,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,203760,TRUE,Sorry Not Sorry,78,0.701,0.638,11,-6.889,0,0.238,0.0252,0,0.256,0.868,144.084,4,https://api.spotify.com/v1/audio-analysis/25C5CowdsfXld2jJanbiex
3HVr6jTVwBHBa2flM0eURR,3JhNCzhSMTxs9WLGJJxWOY,Macklemore,220454,TRUE,Glorious (feat. Skylar Grey),77,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,4,https://api.spotify.com/v1/audio-analysis/3HVr6jTVwBHBa2flM0eURR
2ekn2ttSfGqwhhate0LSR0,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,208826,FALSE,New Rules,96,0.756,0.682,9,-6.577,0,0.0753,0.00274,8.85E-06,0.147,0.589,116.008,4,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0
19HA9J80qZfIkAnp2g8N2S,1URnnhqYAYcrqrcwql10ft,21 Savage,234280,TRUE,Famous,57,0.779,0.597,9,-9.652,0,0.434,0.723,4.47E-05,0.0508,0.646,173.986,4,https://api.spotify.com/v1/audio-analysis/19HA9J80qZfIkAnp2g8N2S
